1775181600.000000, IBI
7.734375,0.875000
8.609375,0.953125
9.562500,0.828125
10.390625,0.812500
11.203125,0.859375
12.062500,0.890625
12.953125,0.843750
13.796875,0.796875
14.593750,0.812500
15.406250,0.843750
16.250000,0.875000
17.125000,0.859375
17.984375,0.828125
18.812500,0.796875
19.609375,0.843750
20.453125,0.875000
21.328125,0.906250
22.234375,0.859375
23.093750,0.828125
24.921875,0.843750
25.765625,0.890625
26.656250,0.859375
27.515625,0.812500
28.328125,0.843750
29.171875,0.875000
30.046875,0.890625
30.937500,0.828125
31.765625,0.796875
32.562500,0.812500
33.375000,0.859375
